id,zip,city,latitude,longitude,street,country_code
2712,39020.0,Parcines,46.684374,11.070982,Via cascata 25,IT
2713,39019.0,Tirolo,46.697168,11.1661,via del Giovo 36,IT
2714,39100.0,Bolzano,46.502409,11.360172,Via Monte Tondo 4,IT
2715,39056.0,Carezza,46.40684,11.602991,Via Carezza 136/138,IT
2716,39042.0,Bressanone,46.715573,11.647991,via Castelliere 27,IT
2717,39046.0,Ortisei - Val Gardena,46.5742,11.6708,Str. Rezia 22,IT
2718,39040.0,Castelrotto,46.567854,11.559994,Piazza Kraus,IT
2719,39012.0,Merano,46.667229,11.156771,Via F. Schiller 26,IT
2720,39031.0,Brunico,46.797222,11.94367,Via Hermann-Delago 3,IT
2721,39031.0,Stegona,46.795017,11.925514,Via Santa Croce 6,IT
2722,39052.0,Caldaro al Lago,46.412442,11.245879,Via d'Oro 10,IT
2723,39031.0,Brunico,46.794715,11.941555,Via Ragen di Sopra 18,IT
2724,39100.0,Bozen,46.499598,11.35593,via Portici 9,IT
2725,39012.0,Merano,0.0,0.0,Via Alpini 34,IT
2726,39012.0,Merano,46.6651,11.1833,Via Castagni 2,IT
2727,39012.0,Merano,46.670676,11.166674,Vicolo Steinach 6,IT
2728,39052.0,Caldaro,46.415133,11.24676,Via Andreas Hofer 8,IT
2729,39040.0,Siusi allo Sciliar,46.54524,11.571629,Via H. Ibsen 48,IT
2730,39051.0,Caldaro,46.356487,11.279231,Monte 8,IT
2731,39010.0,Verano,46.607743,11.236825,Via Verano 66/2,IT
2732,39043.0,Chiusa/Gudon,46.63979,11.607408,Gudon,IT
2733,39016.0,S. Nicoló,46.500312,10.908501,S. Nicolò 211,IT
2734,39030.0,Pfalzen,46.8119,11.8988,Greinwaldnerstr. 14,IT
2735,39010.0,Avelengo,46.661425,11.232319,Via Falzebener 181A,IT
2736,39010.0,Avelengo,46.661016,11.232492,Via Falzeben 181 B,IT
2737,39030.0,Sorafurcia,46.75294,11.98328,Via Pracken 21,IT
2738,39040.0,Alpe di Siusi,46.536027,11.625241,Giogo 6,IT
2739,39033.0,Colfosco,46.5542,11.8539,Str. Val 6,IT
2740,39033.0,Corvara,46.547,11.8748,Str. Col Alt 92,IT
2741,39010.0,San Pancrazio,46.565249,11.068447,S. Pancrazio,IT
2742,39030.0,La Val,46.657344,11.92579,Str. Rit 5,IT
2743,39030.0,San Lorenzo di Sebato,46.770254,11.859629,Mantana 33/G,IT
2744,39040.0,Alpe di Siusi,46.53936,11.615275,Compatsch 16,IT
2745,39010.0,39010 S. Pancrazio,46.555656,11.059279,Eggerberg 2,IT
2746,39012.0,Merano,46.63208,11.187402,Via Castel Gatto 34,IT
2747,39029.0,Solda,46.5281,10.5794,Via Principale 9,IT
2748,39037.0,39037 Rodengo BZ,46.783551,11.718637,Monte Frella 3,IT
2749,39030.0,Longega,46.719193,11.899758,Str. Longega 25,IT
2750,39037.0,Spinges,46.789287,11.656236,Ölberg 3A,IT
2751,39017.0,Scena,46.695703,11.192586,Via Ifinger 52/A,IT
2752,39054.0,Soprabolzano - Renon,46.51466,11.381278,Am Grumeregg 4,IT
2753,39010.0,Avelengo,46.654621,11.219712,Via Falzeben 50 + 51,IT
2754,39030.0,Riomolino/ Gais,46.847891,11.990948,Riomolino 28,IT
2755,39030.0,Sorafurcia,46.752726,11.982093,Via Pracken 23,IT
2756,39027.0,San Valentino alla Muta,46.759217,10.526868,Padöll 2,IT
2757,39037.0,Valles,46.848301,11.61813,Via Jochtal 7,IT
2758,39030.0,Falzes,46.840562,11.877744,Via Lupwald 17,IT
2759,39010.0,Avelengo,46.667198,11.245056,Via Piffing 5,IT
2760,39010.0,Meltina,46.59402,11.256347,Via Jochweg 2,IT
2761,39030.0,Sorafurcia,46.749163,12.013218,Via Gassl 5,IT
2762,39033.0,Corvara,46.5438,11.8838,Str. Arlara 27,IT
2763,39030.0,San Vigilio di Marebbe,46.704391,11.928971,"Str. Plan de Corones, 57",IT
2764,39030.0,Soafurcia,46.745581,11.995697,Via Egger 21,IT
2765,39030.0,San Lorenzo di Sebato,46.769482,11.851583,Mantana 50,IT
2766,39027.0,San Valentino alla Muta,46.766433,10.531334,Via Kaschon 1,IT
2767,39029.0,Solda,46.531079,10.580407,Via Forestale 9,IT
2768,39030.0,Sorafurcia,46.752452,12.011998,Via Furcia 4,IT
2769,39040.0,Castelrotto,46.5622,11.5547,Via Reißner 1,IT
2770,39030.0,Mühlwald,46.893179,11.86444,Abfalterboden,IT
2771,39040.0,Laion,46.607666,11.561552,Via Schießstand 23,IT
2772,39033.0,Corvara,46.554182,11.86959,Str. Agá 22,IT
